2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Guaranteed,MP,ORB,PF,PTS,Player,Pos,STL,Signed Using,TOV,TRB,eFG%
12253780,12759670,0,0,0,0,3.0,0.48,6.3,1.5,0.41,3.7,2.4,32,0.2,2.6,4.5,0.45,9.9,1.5,0.94,1.6,76,69,25013450,30.4,0.4,1.4,12.0,Courtney Lee,SG,1.1,Cap Space,1.1,3.0,0.53
11830358,12960000,13920000,14880000,0,0,3.8,0.51,7.5,1.9,0.37,5.2,4.1,27,0.6,4.2,5.7,0.45,12.7,2.2,0.79,2.8,81,40,38710358,33.1,0.9,2.1,15.7,Will Barton,SG,1.0,,1.8,5.1000000000000005,0.52
1600520,0,0,0,0,0,2.4,0.51,4.7,0.4,0.5,0.8,4.0,25,0.2,2.5,2.8,0.51,5.5,0.4,0.8,0.5,76,1,1600520,22.4,0.5,1.6,6.3,T.J. McConnell,PG,1.2,Minimum Salary,1.5,3.0,0.55
2393887,0,0,0,0,0,0.7,0.7,1.0,0.0,0.0,0.0,0.6,33,0.5,2.2,0.7,0.7,1.0,0.1,1.0,0.1,24,5,2393887,9.0,1.1,1.7,1.5,Andrew Bogut,C,0.2,Minimum Salary,0.8,3.3000000000000003,0.7
2272391,12727273,11709091,10690909,9672727,0,3.6,0.59,6.07,0.0,0.0,0.19,1.23,25,0.6,4.41,3.62,0.58,6.28,1.39,0.66,2.1,132,54,47072391,21.53,2.43,2.61,8.7,Larry Nance,C,1.31,1st Round pick,0.79,6.84,0.58
11660716,12553471,13446428,14339285,0,0,2.1,0.43,4.9,1.4,0.3,4.6,4.8,23,0.4,2.7,3.5,0.37,9.5,1.8,0.72,2.5,54,11,51999900,29.9,0.8,2.5,10.2,Marcus Smart,SG,1.3,,2.4,3.5,0.44
25467250,27270000,29290000,31310000,33330000,0,5.6,0.48,11.7,1.4,0.34,4.1,2.0,22,0.6,3.4,6.9,0.43,15.9,2.5,0.66,3.8,82,82,146667250,36.3,1.0,2.0,17.7,Andrew Wiggins,SF,1.1,1st Round Pick,1.7,4.4,0.48
2500000,0,0,0,0,0,2.1,0.5,4.2,1.0,0.33,3.0,2.5,40,0.2,1.9,3.1,0.44,7.1,1.7,0.85,2.0,65,0,2500000,20.0,0.3,1.9,8.9,Manu Ginobili,SG,0.7,,1.6,2.1999999999999997,0.51
1544951,2321735,0,0,0,0,3.2,0.45,7.1,0.1,0.25,0.4,2.9,21,0.4,4.3,3.3,0.44,7.5,1.3,0.72,1.8,81,48,3866686,21.5,1.4,1.9,8.1,Dejounte Murray,PG,1.2,1st Round pick,1.7,5.699999999999999,0.45
2659800,3529555,0,0,0,0,4.4,0.52,8.4,0.2,0.4,0.5,2.0,21,0.4,5.5,4.6,0.52,8.9,2.3,0.77,3.0,74,19,6189355,24.5,2.2,3.0,11.6,Domantas Sabonis,C,0.5,1st Round pick,1.9,7.7,0.53
5697054,0,0,0,0,0,6.3,0.46,13.8,1.9,0.4,4.8,1.2,22,2.4,5.3,8.1,0.44,18.5,4.5,0.79,5.7,48,48,5697054,32.4,1.3,2.9,22.7,Kristaps Porzingis,PF,0.8,1st round pick,1.9,6.6,0.49
506134,0,0,0,0,0,0.2,0.29,0.7,0.1,0.09,1.1,0.1,22,0.8,0.9,0.3,0.17,1.8,0.4,0.57,0.7,18,0,506134,6.9,0.3,0.8,1.2,Zhou Qi,C,0.1,,0.6,1.2,0.19
1740000,0,0,0,0,0,0.2,0.25,0.8,0.4,0.33,1.2,0.3,20,0.1,0.6,0.6,0.3,2.0,0.1,0.33,0.3,14,0,1740000,5.7,0.1,0.9,1.6,Furkan Korkmaz,SG,0.1,1st Round Pick,0.1,0.7,0.4
21666667,23271604,0,0,0,0,3.6,0.56,6.4,1.4,0.36,3.9,0.8,28,1.3,5.3,5.0,0.49,10.3,1.2,0.75,1.6,76,76,44938271,27.5,1.0,2.8,12.6,Serge Ibaka,PF,0.4,Cap space,1.2,6.3,0.55
