Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
56,Joakim Noah\noahjo01,NYK,"$18,530,000 ","$6,431,666 ","$6,431,666 ","$6,431,666 ",,,,"$37,824,998 "
57,Allen Crabbe\crabbal01,BRK,"$18,500,000 ","$18,500,000 ",,,,,Cap Space,"$18,500,000 "
58,Goran Dragic\dragigo01,MIA,"$18,109,175 ","$19,217,900 ",,,,,Bird Rights,"$18,109,175 "
59,Kent Bazemore\bazemke01,ATL,"$18,089,887 ","$19,269,662 ",,,,,Cap Space,"$18,089,887 "
60,Evan Turner\turneev01,POR,"$17,868,852 ","$18,606,557 ",,,,,Cap Space,"$36,475,409 "
61,Draymond Green\greendr01,GSW,"$17,469,565 ","$18,539,130 ",,,,,Bird Rights,"$36,008,695 "
62,Tristan Thompson\thomptr01,CLE,"$17,469,565 ","$18,539,130 ",,,,,Bird Rights,"$36,008,695 "
63,Tim Hardaway\hardati02,DAL,"$17,325,000 ","$18,150,000 ","$18,975,000 ",,,,Cap space,"$35,475,000 "
64,Reggie Jackson\jacksre01,DET,"$17,043,478 ","$18,086,956 ",,,,,Bird Rights,"$35,130,434 "
65,Evan Fournier\fournev01,ORL,"$17,000,000 ","$17,000,000 ","$17,000,000 ",,,,Cap Space,"$34,000,000 "
66,Bismack Biyombo\biyombi01,CHO,"$17,000,000 ","$17,000,000 ",,,,,Cap Space,"$34,000,000 "
67,Derrick Favors\favorde01,UTA,"$16,900,000 ","$16,900,000 ",,,,,,"$16,000,000 "
68,Jonas Valanciunas\valanjo01,MEM,"$16,539,326 ","$17,617,977 ",,,,,1st Round Pick,"$16,539,326 "
69,Gary Harris\harriga01,DEN,"$16,517,857 ","$17,839,286 ","$19,160,714 ","$20,482,143 ",,,1st Round Pick,"$74,000,000 "
70,Andre Iguodala\iguodan01,GSW,"$16,000,000 ","$17,185,185 ",,,,,Bird Rights,"$33,185,185 "
71,Timofey Mozgov\mozgoti01,ORL,"$16,000,000 ","$16,720,000 ",,,,,Cap Space,"$32,720,000 "
72,Ian Mahinmi\mahinia01,WAS,"$15,944,154 ","$15,450,051 ",,,,,Cap Space,"$31,394,205 "
73,Dennis Schroder\schrode01,OKC,"$15,500,000 ","$15,500,000 ","$15,500,000 ",,,,1st Round Pick,"$46,500,000 "
74,DeMarre Carroll\carrode01,BRK,"$15,400,000 ",,,,,,Cap Space,"$15,400,000 "
75,Clint Capela\capelca01,HOU,"$15,293,104 ","$16,456,522 ","$17,500,000 ","$18,543,478 ","$19,586,957 ",,,"$87,380,061 "
76,Gorgui Dieng\dienggo01,MIN,"$15,170,787 ","$16,229,213 ","$17,287,640 ",,,,1st Round Pick,"$48,687,640 "
77,Pau Gasol\gasolpa01,SAS,"$15,100,000 ","$5,100,000 ",,,,,,"$20,200,000 "
78,Eric Bledsoe\bledser01,MIL,"$15,000,000 ","$15,625,000 ","$16,875,000 ","$18,125,000 ","$19,375,000 ",,Bird Rights,"$85,000,000 "
79,Trevor Ariza\arizatr01,WAS,"$15,000,000 ",,,,,,Cap Space,"$15,000,000 "
80,Ricky Rubio\rubiori01,UTA,"$14,975,000 ",,,,,,1st Round Pick,"$14,975,000 "
81,Tobias Harris\harrito02,PHI,"$14,800,000 ",,,,,,Bird Rights,"$14,800,000 "
82,J.R. Smith\smithjr01,CLE,"$14,720,000 ","$15,680,000 ",,,,,Bird Rights,"$18,590,000 "
83,James Johnson\johnsja01,MIA,"$14,651,700 ","$15,349,400 ","$16,047,100 ",,,,Cap space,"$30,001,100 "
84,Brandon Knight\knighbr03,CLE,"$14,631,250 ","$15,643,750 ",,,,,,"$30,275,000 "
85,Robin Lopez\lopezro01,CHI,"$14,357,750 ",,,,,,Cap Space,"$14,357,750 "
86,Luol Deng\denglu01,LAL,"$14,354,067 ","$4,990,000 ","$4,990,000 ","$4,990,000 ",,,,"$29,324,067 "
87,Marvin Williams\willima02,CHO,"$14,087,500 ","$15,006,250 ",,,,,Cap Space,"$14,087,500 "
88,Taj Gibson\gibsota01,MIN,"$14,000,000 ",,,,,,Cap space,"$14,000,000 "
89,Jeremy Lin\linje01,ATL,"$13,768,421 ",,,,,,,"$13,768,421 "
90,Thaddeus Young\youngth01,IND,"$13,764,045 ",,,,,,Bird Rights,"$13,764,045 "
91,Kenneth Faried\farieke01,BRK,"$13,764,045 ",,,,,,,"$13,764,045 "
92,Tyson Chandler\chandty01,PHO,"$13,585,000 ",,,,,,,"$13,585,000 "
93,Marcin Gortat\gortama01,LAC,"$13,565,218 ",,,,,,,"$13,565,218 "
94,Cody Zeller\zelleco01,CHO,"$13,528,090 ","$14,471,910 ","$15,415,730 ",,,,1st Round Pick,"$43,415,730 "
95,Eric Gordon\gordoer01,HOU,"$13,500,375 ","$14,057,730 ",,,,,Cap Space,"$27,558,105 "
96,Joe Ingles\inglejo01,UTA,"$13,045,455 ","$11,954,546 ","$10,863,637 ",,,,Bird Rights,"$35,863,638 "
97,Khris Middleton\middlkh01,MIL,"$13,000,000 ","$13,000,000 ",,,,,Bird Rights,"$13,000,000 "
98,Michael Kidd-Gilchrist\kiddgmi01,CHO,"$13,000,000 ","$13,000,000 ",,,,,1st Round Pick,"$13,000,000 "
99,Mason Plumlee\plumlma01,DEN,"$12,917,808 ","$14,041,096 ",,,,,Cap space,"$26,958,904 "
100,Wilson Chandler\chandwi01,LAC,"$12,800,562 ",,,,,,,"$12,800,562 "
101,Nikola Vucevic\vucevni01,ORL,"$12,750,000 ",,,,,,Bird Rights,"$12,750,000 "
102,Jordan Clarkson\clarkjo01,CLE,"$12,500,000 ","$13,437,500 ",,,,,Cap Space,"$25,937,500 "
103,Miles Plumlee\plumlmi01,ATL,"$12,500,000 ","$12,500,000 ",,,,,Bird Rights,"$25,000,000 "
104,Nikola Mirotic\mirotni01,MIL,"$12,500,000 ",,,,,,Cap space,"$12,500,000 "
105,Tyreke Evans\evansty01,IND,"$12,400,000 ",,,,,,,"$12,400,000 "
106,Courtney Lee\leeco01,DAL,"$12,253,780 ","$12,759,670 ",,,,,Cap Space,"$25,013,450 "
107,Solomon Hill\hillso01,NOP,"$12,252,928 ","$13,258,781 ",,,,,Cap Space,"$25,511,709 "
108,J.J. Redick\redicjj01,PHI,"$12,250,000 ",,,,,,,"$12,250,000 "
109,Kelly Olynyk\olynyke01,MIA,"$12,137,527 ","$11,667,885 ","$12,198,243 ",,,,Cap space,"$23,805,412 "
110,Austin Rivers\riverau01,PHO,"$12,000,000 ",,,,,,,"$12,000,000 "
111,Avery Bradley\bradlav01,MEM,"$12,000,000 ","$12,960,000 ",,,,,,"$12,000,000 "
112,Kentavious Caldwell-Pope\caldwke01,LAL,"$12,000,000 ",,,,,,,"$12,000,000 "
113,Kemba Walker\walkeke02,CHO,"$12,000,000 ",,,,,,1st Round Pick,"$12,000,000 "
114,Will Barton\bartowi01,DEN,"$11,830,358 ","$12,960,000 ","$13,920,000 ","$14,880,000 ",,,,"$38,710,358 "
115,T.J. Warren\warretj01,PHO,"$11,750,000 ","$10,810,000 ","$11,750,000 ","$12,690,000 ",,,1st Round Pick,"$47,000,000 "
116,Zach Randolph\randoza01,DAL,"$11,692,308 ",,,,,,,"$11,692,308 "
117,Marcus Smart\smartma01,BOS,"$11,660,716 ","$12,553,471 ","$13,446,428 ","$14,339,285 ",,,,"$51,999,900 "
118,Patty Mills\millspa02,SAS,"$11,571,429 ","$12,428,571 ","$13,285,714 ",,,,Bird Rights,"$37,285,714 "
119,Dion Waiters\waitedi01,MIA,"$11,550,000 ","$12,100,000 ","$12,650,000 ",,,,Cap space,"$36,300,000 "
120,Alec Burks\burksal01,SAC,"$11,536,515 ",,,,,,1st Round Pick,"$11,536,515 "
121,John Henson\hensojo01,CLE,"$11,327,466 ","$9,732,396 ",,,,,1st Round Pick,"$21,059,862 "
122,Omer Asik\asikom01,CHI,"$11,286,516 ","$3,000,000 ",,,,,,"$14,286,516 "
123,Jusuf Nurkic\nurkiju01,POR,"$11,111,111 ","$12,000,000 ","$12,000,000 ","$12,000,000 ",,,,"$39,111,111 "
124,Iman Shumpert\shumpim01,HOU,"$11,011,234 ",,,,,,Bird Rights,"$11,011,234 "
125,Maurice Harkless\harklma01,POR,"$10,837,079 ","$11,511,234 ",,,,,Cap Space,"$22,348,313 "
126,Tony Snell\snellto01,MIL,"$10,607,143 ","$11,392,857 ","$12,178,571 ",,,,Cap space,"$22,000,000 "
127,Meyers Leonard\leoname01,POR,"$10,595,506 ","$11,286,515 ",,,,,Cap Space,"$21,882,021 "
128,Terrence Ross\rosste01,ORL,"$10,500,000 ",,,,,,Rookie scale extension,"$10,500,000 "
129,Bojan Bogdanovic\bogdabo02,IND,"$10,500,000 ",,,,,,Cap space,"$10,500,000 "
130,Robert Covington\covinro01,MIN,"$10,464,092 ","$11,301,219 ","$12,138,345 ","$12,975,471 ",,,Cap Space,"$46,879,127 "
131,Rudy Gay\gayru01,SAS,"$10,087,200 ",,,,,,Non-Bird Rights,"$10,087,200 "
132,Jon Leuer\leuerjo01,DET,"$10,002,681 ","$9,508,043 ",,,,,Cap Space,"$19,510,724 "
133,Andre Roberson\roberan03,OKC,"$10,000,000 ","$10,740,741 ",,,,,Bird Rights,"$20,740,741 "
134,Danny Green\greenda02,TOR,"$10,000,000 ",,,,,,Bird Rights,"$10,000,000 "
135,Darren Collison\collida01,IND,"$10,000,000 ",,,,,,Cap space,"$10,000,000 "
136,Dwight Powell\poweldw01,DAL,"$9,631,250 ","$10,259,375 ",,,,,Cap Space,"$9,631,250 "
137,Matthew Dellavedova\dellama01,CLE,"$9,607,500 ","$9,607,500 ",,,,,Cap Space,"$19,215,000 "
138,Dante Exum\exumda01,UTA,"$9,600,000 ","$9,600,000 ","$9,600,000 ",,,,Cap Space,"$27,300,000 "
139,Jared Dudley\dudleja01,BRK,"$9,530,000 ",,,,,,Cap Space,"$9,530,000 "
140,Norman Powell\powelno01,TOR,"$9,367,200 ","$10,116,576 ","$10,865,952 ","$11,615,328 ",,,Cap Space,"$30,349,728 "
141,Josh Richardson\richajo01,MIA,"$9,367,200 ","$10,100,000 ","$10,800,000 ","$11,600,000 ",,,Minimum Salary,"$30,267,200 "
142,Bogdan Bogdanovic\bogdabo01,SAC,"$9,000,000 ","$8,529,386 ",,,,,Cap space,"$17,529,386 "
143,Rajon Rondo\rondora01,LAL,"$9,000,000 ",,,,,,,"$9,000,000 "
144,E'Twaun Moore\mooreet01,NOP,"$8,808,685 ","$8,664,928 ",,,,,Cap Space,"$17,473,613 "
145,Kosta Koufos\koufoko01,SAC,"$8,739,500 ",,,,,,Cap Space,"$8,739,500 "
146,Jerami Grant\grantje01,OKC,"$8,653,847 ","$9,346,153 ","$9,346,153 ",,,,,"$18,000,000 "
147,Fred VanVleet\vanvlfr01,TOR,"$8,653,847 ","$9,000,000 ",,,,,Bird Rights,"$17,653,847 "
148,Kyle Anderson\anderky01,MEM,"$8,641,000 ","$9,073,050 ","$9,505,100 ","$9,937,150 ",,,MLE,"$37,156,300 "
149,Julius Randle\randlju01,NOP,"$8,641,000 ","$9,073,050 ",,,,,MLE,"$8,641,000 "
150,Markieff Morris\morrima02,NOP,"$8,600,000 ",,,,,,,"$8,600,000 "
151,Jerryd Bayless\bayleje01,MIN,"$8,575,916 ",,,,,,Cap Space,"$8,575,916 "
152,Cristiano Felicio\feliccr01,CHI,"$8,470,980 ","$8,156,500 ","$7,529,020 ",,,,Cap space,"$24,156,500 "
153,Markelle Fultz\fultzma01,ORL,"$8,339,880 ","$9,745,200 ","$12,288,697 ",,,,1st Round Pick,"$18,085,080 "
154,C.J. Miles\milescj01,MEM,"$8,333,333 ","$8,730,158 ",,,,,MLE,"$17,063,491 "
155,Joe Harris\harrijo01,BRK,"$8,333,333 ","$7,670,000 ",,,,,Early Bird Rights,"$16,003,333 "
156,Shaun Livingston\livinsh01,GSW,"$8,307,692 ","$7,692,308 ",,,,,Bird Rights,"$10,307,692 "
157,Deandre Ayton\aytonde01,PHO,"$8,165,160 ","$9,562,920 ","$10,018,200 ","$12,632,950 ",,,1st Round Pick,"$17,728,080 "
158,Lou Williams\willilo02,LAC,"$8,000,000 ","$8,000,000 ","$1,500,000 ",,,,Cap Space,"$16,000,000 "
159,Garrett Temple\templga01,LAC,"$8,000,000 ",,,,,,Cap Space,"$8,000,000 "
160,P.J. Tucker\tuckepj01,HOU,"$7,969,537 ","$8,349,039 ","$7,969,537 ",,,,MLE,"$18,887,764 "
161,Cory Joseph\josepco01,IND,"$7,945,000 ",,,,,,Cap Space,"$7,945,000 "
162,JaMychal Green\greenja01,LAC,"$7,866,667 ",,,,,,Bird Rights,"$7,866,667 "
163,Karl-Anthony Towns\townska01,MIN,"$7,839,435 ","$27,250,000 ","$29,430,000 ","$31,610,000 ","$33,790,000 ","$35,970,000 ",1st round pick,"$163,709,435 "
164,Kyle Korver\korveky01,UTA,"$7,560,000 ","$7,500,000 ",,,,,Bird Rights,"$11,000,000 "
165,Jeremy Lamb\lambje01,CHO,"$7,488,372 ",,,,,,Rookie scale extension,"$7,488,372 "
166,Darrell Arthur\arthuda01,PHO,"$7,464,912 ",,,,,,,"$7,464,912 "
